Names	total	elements
PeaksDB PepEx	29	Thalassiosira_weissflogii_0171390204
		tr|A0A089VKF1|A0A089VKF1_THAWE
		Thalassiosira_weissflogii_0203571294
		Thalassiosira_weissflogii_0203389878
		Thalassiosira_weissflogii_0203358160
		Thalassiosira_weissflogii_0203549518
		Thalassiosira_weissflogii_0203355956
		Thalassiosira_weissflogii_0203258570
		tr|A0A089VKI6|A0A089VKI6_THAWE
		Thalassiosira_weissflogii_0171418338
		Thalassiosira_weissflogii_0171402288
		Thalassiosira_weissflogii_0203627540
		Thalassiosira_weissflogii_0203397068
		tr|A0A089X936|A0A089X936_THAWE
		Thalassiosira_weissflogii_0203399586
		Thalassiosira_weissflogii_0201831054
		Thalassiosira_weissflogii_0203356870
		tr|A0A089VKJ7|A0A089VKJ7_THAWE
		Thalassiosira_weissflogii_0171449500
		tr|A0A089VNZ5|A0A089VNZ5_THAWE
		Thalassiosira_weissflogii_0203172898
		Thalassiosira_weissflogii_0203609740
		Thalassiosira_weissflogii_0203319814
		Thalassiosira_weissflogii_0201845386
		Thalassiosira_weissflogii_0203204888
		Thalassiosira_weissflogii_0203417438
		Thalassiosira_weissflogii_0171356290
		tr|A0A089X953|A0A089X953_THAWE
		Thalassiosira_weissflogii_0203479218
PeaksDB	141	Thalassiosira_weissflogii_0203581516
		tr|A0A089VKJ4|A0A089VKJ4_THAWE
		Thalassiosira_weissflogii_0201834710
		Thalassiosira_weissflogii_0203566088
		Thalassiosira_weissflogii_0203228564
		Thalassiosira_weissflogii_0203214018
		Thalassiosira_weissflogii_0203627578
		Thalassiosira_weissflogii_0203289014
		Thalassiosira_weissflogii_0203135454
		Thalassiosira_weissflogii_0203565922
		tr|A0A089VIP5|A0A089VIP5_THAWE
		Thalassiosira_weissflogii_0203176104
		Thalassiosira_weissflogii_0203592668
		tr|A8DP72|A8DP72_THAWE
		Thalassiosira_weissflogii_0201811490
		Thalassiosira_weissflogii_0203321206
		Thalassiosira_weissflogii_0203198708
		Thalassiosira_weissflogii_0201768036
		Thalassiosira_weissflogii_0203598492
		Thalassiosira_weissflogii_0201746798
		Thalassiosira_weissflogii_0203169094
		Thalassiosira_weissflogii_0171432196
		Thalassiosira_weissflogii_0203258860
		Thalassiosira_weissflogii_0203211260
		Thalassiosira_weissflogii_0203229036
		Thalassiosira_weissflogii_0201804180
		Thalassiosira_weissflogii_0203203762
		Thalassiosira_weissflogii_0203289384
		Thalassiosira_weissflogii_0203290328
		Thalassiosira_weissflogii_0203239758
		Thalassiosira_weissflogii_0203565880
		Thalassiosira_weissflogii_0201836810
		Thalassiosira_weissflogii_0201775250
		Thalassiosira_weissflogii_0203506334
		Thalassiosira_weissflogii_0203448720
		Thalassiosira_weissflogii_0203204676
		Thalassiosira_weissflogii_0171369240
		Thalassiosira_weissflogii_0171423018
		Thalassiosira_weissflogii_0201768374
		tr|A0A089VIM8|A0A089VIM8_THAWE
		Thalassiosira_weissflogii_0203540620
		Thalassiosira_weissflogii_0203398754
		tr|A0A089VQC9|A0A089VQC9_THAWE
		Thalassiosira_weissflogii_0201829604
		Thalassiosira_weissflogii_0203412222
		Thalassiosira_weissflogii_0201801252
		Thalassiosira_weissflogii_0203366844
		Thalassiosira_weissflogii_0171329804
		Thalassiosira_weissflogii_0203135488
		Thalassiosira_weissflogii_0203350886
		Thalassiosira_weissflogii_0203323600
		Thalassiosira_weissflogii_0203538228
		Thalassiosira_weissflogii_0203431958
		Thalassiosira_weissflogii_0203546162
		Thalassiosira_weissflogii_0201848920
		tr|A0A089VIN2|A0A089VIN2_THAWE
		Thalassiosira_weissflogii_0171420522
		Thalassiosira_weissflogii_0203104274
		Thalassiosira_weissflogii_0203202236
		Thalassiosira_weissflogii_0203172154
		Thalassiosira_weissflogii_0203230250
		tr|A0A089X984|A0A089X984_THAWE
		Thalassiosira_weissflogii_0203311806
		tr|A0A089VKD8|A0A089VKD8_THAWE
		Thalassiosira_weissflogii_0201837250
		Thalassiosira_weissflogii_0201862216
		Thalassiosira_weissflogii_0203545546
		Thalassiosira_weissflogii_0171384504
		Thalassiosira_weissflogii_0203264230
		Thalassiosira_weissflogii_0201829390
		Thalassiosira_weissflogii_0203215658
		Thalassiosira_weissflogii_0203604662
		Thalassiosira_weissflogii_0203102818
		Thalassiosira_weissflogii_0203149732
		tr|A0A089VKI3|A0A089VKI3_THAWE
		Thalassiosira_weissflogii_0203566486
		Thalassiosira_weissflogii_0201836064
		Thalassiosira_weissflogii_0203198822
		Thalassiosira_weissflogii_0203297084
		Thalassiosira_weissflogii_0203627630
		Thalassiosira_weissflogii_0203386088
		tr|A0A089VKH6|A0A089VKH6_THAWE
		tr|A0A089VKF6|A0A089VKF6_THAWE
		Thalassiosira_weissflogii_0171348692
		Thalassiosira_weissflogii_0203181712
		Thalassiosira_weissflogii_0203519974
		Thalassiosira_weissflogii_0203382750
		tr|A0A089VKN5|A0A089VKN5_THAWE
		Thalassiosira_weissflogii_0203474076
		Thalassiosira_weissflogii_0203473996
		Thalassiosira_weissflogii_0201769400
		Thalassiosira_weissflogii_0203363640
		Thalassiosira_weissflogii_0203386012
		Thalassiosira_weissflogii_0201768196
		Thalassiosira_weissflogii_0203204228
		Thalassiosira_weissflogii_0203103378
		Thalassiosira_weissflogii_0203289348
		Thalassiosira_weissflogii_0203608338
		Thalassiosira_weissflogii_0203386744
		Thalassiosira_weissflogii_0203450516
		Thalassiosira_weissflogii_0203273400
		Thalassiosira_weissflogii_0203257228
		Thalassiosira_weissflogii_0203294158
		Thalassiosira_weissflogii_0171353630
		Thalassiosira_weissflogii_0203261016
		Thalassiosira_weissflogii_0203522088
		Thalassiosira_weissflogii_0201778388
		Thalassiosira_weissflogii_0203501280
		Thalassiosira_weissflogii_0203510706
		tr|A0A089VPE6|A0A089VPE6_THAWE
		tr|A0A089VQA3|A0A089VQA3_THAWE
		tr|A8DP83|A8DP83_THAWE
		Thalassiosira_weissflogii_0171353608
		Thalassiosira_weissflogii_0203520826
		Thalassiosira_weissflogii_0201860448
		Thalassiosira_weissflogii_0203237080
		Thalassiosira_weissflogii_0203597848
		Thalassiosira_weissflogii_0203107868
		Thalassiosira_weissflogii_0171446742
		Thalassiosira_weissflogii_0203505400
		Thalassiosira_weissflogii_0203164374
		Thalassiosira_weissflogii_0171383444
		Thalassiosira_weissflogii_0203264358
		Thalassiosira_weissflogii_0201773708
		Thalassiosira_weissflogii_0203279580
		tr|A0A1W6FBN1|A0A1W6FBN1_THAWE
		Thalassiosira_weissflogii_0203245572
		Thalassiosira_weissflogii_0203395622
		Thalassiosira_weissflogii_0171446710
		Thalassiosira_weissflogii_0203145968
		Thalassiosira_weissflogii_0203167856
		Thalassiosira_weissflogii_0203139544
		Thalassiosira_weissflogii_0171415618
		Thalassiosira_weissflogii_0201776260
		tr|A0A089VP72|A0A089VP72_THAWE
		Thalassiosira_weissflogii_0203122474
		Thalassiosira_weissflogii_0203628344
		Thalassiosira_weissflogii_0201860518
		Thalassiosira_weissflogii_0203359074
		Thalassiosira_weissflogii_0203135564
		Thalassiosira_weissflogii_0203294152
PepEx	60	Thalassiosira_weissflogii_0203188584
		Thalassiosira_weissflogii_0201812178
		Thalassiosira_weissflogii_0203411914
		Thalassiosira_weissflogii_0201804746
		Thalassiosira_weissflogii_0201768072
		Thalassiosira_weissflogii_0203326388
		Thalassiosira_weissflogii_0203320078
		Thalassiosira_weissflogii_0203332042
		Thalassiosira_weissflogii_0203458984
		Thalassiosira_weissflogii_0201805882
		Thalassiosira_weissflogii_0203627810
		Thalassiosira_weissflogii_0203523368
		Thalassiosira_weissflogii_0171421372
		Thalassiosira_weissflogii_0203362254
		Thalassiosira_weissflogii_0171442420
		Thalassiosira_weissflogii_0203294156
		tr|A0A089X927|A0A089X927_THAWE
		Thalassiosira_weissflogii_0203464268
		tr|A0A089VP68|A0A089VP68_THAWE
		Thalassiosira_weissflogii_0201812116
		Thalassiosira_weissflogii_0171382788
		Thalassiosira_weissflogii_0201773748
		Thalassiosira_weissflogii_0203597034
		Thalassiosira_weissflogii_0203145312
		Thalassiosira_weissflogii_0201850948
		Thalassiosira_weissflogii_0203365344
		Thalassiosira_weissflogii_0203294658
		Thalassiosira_weissflogii_0203329908
		tr|A0A089VIJ5|A0A089VIJ5_THAWE
		Thalassiosira_weissflogii_0203603364
		Thalassiosira_weissflogii_0203392864
		tr|A0A089VP53|A0A089VP53_THAWE
		Thalassiosira_weissflogii_0171358562
		Thalassiosira_weissflogii_0203399532
		Thalassiosira_weissflogii_0203362160
		Thalassiosira_weissflogii_0171404882
		tr|A0A089VQH8|A0A089VQH8_THAWE
		Thalassiosira_weissflogii_0203090108
		Thalassiosira_weissflogii_0201756948
		Thalassiosira_weissflogii_0203300414
		Thalassiosira_weissflogii_0203546052
		Thalassiosira_weissflogii_0203405304
		Thalassiosira_weissflogii_0171385398
		Thalassiosira_weissflogii_0203519586
		Thalassiosira_weissflogii_0203306608
		Thalassiosira_weissflogii_0203497458
		Thalassiosira_weissflogii_0171361636
		Thalassiosira_weissflogii_0203148408
		Thalassiosira_weissflogii_0171383990
		Thalassiosira_weissflogii_0203632258
		Thalassiosira_weissflogii_0171390098
		Thalassiosira_weissflogii_0201835346
		Thalassiosira_weissflogii_0171390124
		Thalassiosira_weissflogii_0203204248
		Thalassiosira_weissflogii_0203168072
		Thalassiosira_weissflogii_0203305192
		Thalassiosira_weissflogii_0201837686
		Thalassiosira_weissflogii_0171385732
		Thalassiosira_weissflogii_0203212052
		Thalassiosira_weissflogii_0171448610
