Peptides,GO-term,Name
35,GO:0016021,integral component of membrane
30,GO:0009535,chloroplast thylakoid membrane
16,GO:0030126,COPI vesicle coat
14,GO:0000139,Golgi membrane
10,GO:0009941,chloroplast envelope
5,GO:0005829,cytosol
5,GO:0005737,cytoplasm
4,GO:0005840,ribosome
4,GO:0022625,cytosolic large ribosomal subunit
2,GO:0009507,chloroplast
2,GO:0005634,nucleus
2,GO:0000786,nucleosome
1,GO:0009536,plastid
1,GO:0000790,nuclear chromatin
1,GO:0009538,photosystem I reaction center
