Peptides,GO-term,Name
25,GO:0016021,integral component of membrane
10,GO:0005737,cytoplasm
5,GO:0005886,plasma membrane
2,GO:0016020,membrane
2,GO:0043190,ATP-binding cassette (ABC) transporter complex
2,GO:0009538,photosystem I reaction center
1,GO:0009380,excinuclease repair complex
1,GO:0019867,outer membrane
1,GO:0005887,integral component of plasma membrane
1,GO:0009279,cell outer membrane
1,GO:0005840,ribosome
1,GO:0045261,"proton-transporting ATP synthase complex, catalytic core F(1)"
