Peptides,GO-term,Name
4,GO:0006355,"regulation of transcription, DNA-templated"
4,GO:0055085,transmembrane transport
3,GO:0000160,phosphorelay signal transduction system
3,GO:0032259,methylation
2,GO:0006281,DNA repair
2,GO:0006241,CTP biosynthetic process
2,GO:0006228,UTP biosynthetic process
2,GO:0006183,GTP biosynthetic process
2,GO:0046677,response to antibiotic
2,GO:0046416,D-amino acid metabolic process
2,GO:0042026,protein refolding
2,GO:0009408,response to heat
1,GO:0006435,threonyl-tRNA aminoacylation
1,GO:0015977,carbon fixation
1,GO:0006107,oxaloacetate metabolic process
1,GO:0006099,tricarboxylic acid cycle
1,GO:0006304,DNA modification
1,GO:0006725,cellular aromatic compound metabolic process
1,GO:0006537,glutamate biosynthetic process
1,GO:0006400,tRNA modification
1,GO:0007049,cell cycle
1,GO:0051301,cell division
1,GO:0007059,chromosome segregation
1,GO:0006207,'de novo' pyrimidine nucleobase biosynthetic process
1,GO:0044205,'de novo' UMP biosynthetic process
1,GO:0006520,cellular amino acid metabolic process
1,GO:0046167,glycerol-3-phosphate biosynthetic process
1,GO:0006650,glycerophospholipid metabolic process
1,GO:0008654,phospholipid biosynthetic process
1,GO:0019619,"3,4-dihydroxybenzoate catabolic process"
1,GO:0045893,"positive regulation of transcription, DNA-templated"
1,GO:0006351,"transcription, DNA-templated"
1,GO:0044208,'de novo' AMP biosynthetic process
1,GO:0006189,'de novo' IMP biosynthetic process
1,GO:0006412,translation
1,GO:0006935,chemotaxis
1,GO:0007165,signal transduction
1,GO:0043165,Gram-negative-bacterium-type cell outer membrane assembly
1,GO:0051205,protein insertion into membrane
1,GO:0042773,ATP synthesis coupled electron transport
1,GO:0009058,biosynthetic process
1,GO:0006261,DNA-dependent DNA replication
1,GO:0019629,"propionate catabolic process, 2-methylcitrate cycle"
1,GO:0019538,protein metabolic process
1,GO:0009306,protein secretion
1,GO:0032784,"regulation of DNA-templated transcription, elongation"
1,GO:0006094,gluconeogenesis
1,GO:0006090,pyruvate metabolic process
1,GO:0006071,glycerol metabolic process
1,GO:0000272,polysaccharide catabolic process
1,GO:0045892,"negative regulation of transcription, DNA-templated"
1,GO:0006555,methionine metabolic process
1,GO:0035999,tetrahydrofolate interconversion
1,GO:0006605,protein targeting
1,GO:0065002,intracellular protein transmembrane transport
1,GO:0017038,protein import
1,GO:0006629,lipid metabolic process
1,GO:0006633,fatty acid biosynthetic process
1,GO:0009098,leucine biosynthetic process
1,GO:0006352,"DNA-templated transcription, initiation"
1,GO:0006306,DNA methylation
1,GO:0005975,carbohydrate metabolic process
