Peptides,GO-term,Name
19,GO:0018298,protein-chromophore linkage
13,GO:0009765,"photosynthesis, light harvesting"
9,GO:0015979,photosynthesis
8,GO:0009768,"photosynthesis, light harvesting in photosystem I"
8,GO:0009416,response to light stimulus
6,GO:0006412,translation
2,GO:0015986,ATP synthesis coupled proton transport
1,GO:0042026,protein refolding
1,GO:0006986,response to unfolded protein
1,GO:0051085,chaperone cofactor-dependent protein refolding
1,GO:0034620,cellular response to unfolded protein
1,GO:0006414,translational elongation
1,GO:1903862,positive regulation of oxidative phosphorylation
1,GO:0006094,gluconeogenesis
1,GO:0006096,glycolytic process
1,GO:0006886,intracellular protein transport
1,GO:0006891,intra-Golgi vesicle-mediated transport
1,GO:0006888,endoplasmic reticulum to Golgi vesicle-mediated transport
1,GO:0016192,vesicle-mediated transport
1,GO:0009306,protein secretion
1,GO:0046040,IMP metabolic process
1,GO:0044208,'de novo' AMP biosynthetic process
1,GO:0006665,sphingolipid metabolic process
1,GO:0072657,protein localization to membrane
1,GO:0000462,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
1,GO:1901137,carbohydrate derivative biosynthetic process
1,GO:0019684,"photosynthesis, light reaction"
1,GO:0022904,respiratory electron transport chain
1,GO:0018063,cytochrome c-heme linkage
1,GO:0015995,chlorophyll biosynthetic process
1,GO:0009773,photosynthetic electron transport in photosystem I
