Peptides,GO-term,Name
120,GO:0009535,chloroplast thylakoid membrane
103,GO:0016021,integral component of membrane
61,GO:0009507,chloroplast
48,GO:0005829,cytosol
31,GO:0045261,"proton-transporting ATP synthase complex, catalytic core F(1)"
25,GO:0005737,cytoplasm
21,GO:0009941,chloroplast envelope
17,GO:0005840,ribosome
17,GO:0016020,membrane
16,GO:0009538,photosystem I reaction center
16,GO:0030126,COPI vesicle coat
14,GO:0000139,Golgi membrane
13,GO:0043231,intracellular membrane-bounded organelle
13,GO:1990904,ribonucleoprotein complex
11,GO:0005634,nucleus
11,GO:0022625,cytosolic large ribosomal subunit
11,GO:0005739,mitochondrion
11,GO:0031361,integral component of thylakoid membrane
10,GO:0009523,photosystem II
8,GO:0005886,plasma membrane
8,GO:0005788,endoplasmic reticulum lumen
8,GO:0034663,endoplasmic reticulum chaperone complex
6,GO:0009522,photosystem I
5,GO:0009536,plastid
5,GO:0000275,"mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)"
5,GO:0009654,photosystem II oxygen evolving complex
3,GO:0005753,mitochondrial proton-transporting ATP synthase complex
3,GO:0000786,nucleosome
3,GO:0009579,thylakoid
3,GO:0005856,cytoskeleton
3,GO:0005743,mitochondrial inner membrane
2,GO:0000790,nuclear chromatin
1,GO:0030076,light-harvesting complex
1,GO:0009539,photosystem II reaction center
1,GO:0009521,photosystem
