TermID, Name, Frequency, PlotX, PlotY, LogSize, Uniqueness, Dispensability, Representative, Eliminated
"GO:0006276", "plasmid maintenance", 0.005, -0.841, -3.717, 3.052, 0.991, 0.000, -1, False
"GO:0009108", "(obsolete) coenzyme biosynthetic process", 0.130, 2.844, -7.303, 4.463, 1.000, 0.000, -1, False
"GO:0009405", "(obsolete) pathogenesis", 0.130, -1.054, -6.144, 4.463, 1.000, 0.000, -1, False
"GO:0009847", "spore germination", 0.070, -3.764, -0.276, 4.207, 0.995, 0.000, -1, False
"GO:0015976", "carbon utilization", 0.041, 2.145, -6.529, 3.969, 1.000, 0.000, -1, False
"GO:0046034", "ATP metabolic process", 1.380, -0.448, 7.706, 5.499, 0.952, 0.000, -1, False
"GO:0055114", "(obsolete) oxidation-reduction process", 0.130, -2.199, -2.295, 4.463, 1.000, 0.000, -1, False
"GO:0071722", "detoxification of arsenic-containing substance", 0.003, -6.563, -0.575, 2.839, 0.963, 0.000, -1, False
"GO:0009635", "response to herbicide", 0.004, null, null, 2.992, 0.951, 0.446, 71722, True
"GO:0071945", "regulation of bacterial-type flagellum-dependent cell motility by regulation of motor speed", 0.002, -3.155, 5.148, 2.575, 0.980, 0.000, -1, False
"GO:0043335", "protein unfolding", 0.031, -0.058, 6.633, 3.849, 0.990, 0.005, -1, False
"GO:0044097", "secretion by the type IV secretion system", 0.015, -5.900, -2.830, 3.524, 0.951, 0.006, -1, False
"GO:0030253", "protein secretion by the type I secretion system", 0.011, null, null, 3.409, 0.929, 0.570, 44097, True
"GO:0043952", "protein transport by the Sec complex", 0.115, null, null, 4.420, 0.921, 0.655, 44097, True
"GO:0065002", "intracellular protein transmembrane transport", 0.264, null, null, 4.781, 0.914, 0.818, 44097, True
"GO:0019835", "cytolysis", 0.061, 0.956, 1.723, 4.147, 0.989, 0.006, -1, False
"GO:0043711", "pilus organization", 0.034, -0.693, 0.368, 3.889, 0.949, 0.006, -1, False
"GO:0044780", "bacterial-type flagellum assembly", 0.134, null, null, 4.486, 0.930, 0.682, 43711, True
"GO:0061077", "chaperone-mediated protein folding", 0.051, -0.710, 3.340, 4.070, 0.986, 0.007, -1, False
"GO:0042026", "protein refolding", 0.101, null, null, 4.362, 0.985, 0.644, 61077, True
"GO:0007059", "chromosome segregation", 0.440, -3.616, -6.216, 5.002, 0.987, 0.008, -1, False
"GO:0043093", "FtsZ-dependent cytokinesis", 0.133, -0.677, 5.202, 4.484, 0.980, 0.008, -1, False
"GO:0007062", "sister chromatid cohesion", 0.112, null, null, 4.406, 0.934, 0.703, 43093, True
"GO:0090529", "cell septum assembly", 0.159, null, null, 4.560, 0.928, 0.899, 43093, True
"GO:0032196", "transposition", 0.493, 0.029, -5.160, 5.052, 0.987, 0.009, -1, False
"GO:0007155", "cell adhesion", 0.540, -2.672, -5.867, 5.091, 0.987, 0.009, -1, False
"GO:0006457", "protein folding", 0.909, 1.685, -7.533, 5.317, 0.987, 0.010, -1, False
"GO:0051301", "cell division", 1.474, -1.541, 7.485, 5.528, 0.986, 0.011, -1, False
"GO:0007049", "cell cycle", 1.745, -1.430, -7.235, 5.601, 0.986, 0.012, -1, False
"GO:0015977", "carbon fixation", 0.050, 0.780, -6.332, 4.062, 0.947, 0.029, -1, False
"GO:0009399", "nitrogen fixation", 0.078, -0.382, -7.385, 4.253, 0.922, 0.031, -1, False
"GO:0042128", "nitrate assimilation", 0.075, null, null, 4.234, 0.770, 0.843, 9399, True
"GO:0042126", "nitrate metabolic process", 0.089, null, null, 4.307, 0.774, 0.974, 9399, True
"GO:0015979", "photosynthesis", 0.221, 0.609, -7.539, 4.704, 0.929, 0.034, -1, False
"GO:0042619", "poly-hydroxybutyrate biosynthetic process", 0.026, 7.147, -3.734, 3.776, 0.878, 0.034, -1, False
"GO:0006044", "N-acetylglucosamine metabolic process", 0.061, 4.956, -6.334, 4.144, 0.877, 0.036, -1, False
"GO:0000270", "peptidoglycan metabolic process", 0.997, null, null, 5.358, 0.785, 0.408, 6044, True
"GO:0006493", "protein O-linked glycosylation", 0.067, null, null, 4.183, 0.732, 0.411, 6044, True
"GO:0019673", "GDP-mannose metabolic process", 0.072, null, null, 4.217, 0.723, 0.414, 6044, True
"GO:0046386", "deoxyribose phosphate catabolic process", 0.082, null, null, 4.271, 0.767, 0.418, 6044, True
"GO:0009225", "nucleotide-sugar metabolic process", 0.450, null, null, 5.012, 0.687, 0.490, 6044, True
"GO:0033468", "CMP-keto-3-deoxy-D-manno-octulosonic acid biosynthetic process", 0.013, null, null, 3.470, 0.718, 0.665, 6044, True
"GO:0009146", "purine nucleoside triphosphate catabolic process", 0.050, null, null, 4.056, 0.627, 0.715, 6044, True
"GO:0019262", "N-acetylneuraminate catabolic process", 0.020, null, null, 3.666, 0.677, 0.723, 6044, True
"GO:0009254", "peptidoglycan turnover", 0.054, null, null, 4.088, 0.827, 0.746, 6044, True
